Accession;Gene;Protein;Disease/Condition;Sample;Change;Authorship;Study
P20151;KLK2 ;Kallikrein-2;Abnormal liquefaction;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
P03952;KLKB1;Plasma kallikrein;Abnormal liquefaction;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
Q9UKR3;KLK13;Kallikrein-13;Abnormal liquefaction;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
Q9P0G3;KLK14;Kallikrein-14 ;Abnormal liquefaction;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
P01215;CGA;Choriogonadotropin alpha chain;Asthenoteratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Asthenoteratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Asthenoteratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P04075;ALDOA;Fructose-bisphosphate aldolase A ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P04406;GAPDH;Glyceraldehyde-3-phosphate dehydrogenase ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P14618;PKM;Pyruvate kinase PKM ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P09668;CTSH;Pro-cathepsin H [Cleaved into: Cathepsin H mini chain _ Cathepsin H ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P07195;LDHB;L-lactate dehydrogenase B chain ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q99538;LGMN;Legumain ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q14508;WFDC2;WAP four-disulfide core domain protein 2 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P08758;ANXA5;Annexin A5 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P16035;TIMP2;Metalloproteinase inhibitor 2 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P12429;ANXA3;Annexin A3 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O00560;SDCBP;Syntenin-1 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P35237;SERPINB6;Serpin B6 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P52788;SMS;Spermine synthase ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q96M91;CFAP53;Cilia- and flagella-associated protein 53 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8WWA0;ITLN1;Intelectin-1 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P13861;PRKAR2A;cAMP-dependent protein kinase type II-alpha regulatory subunit;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q13449;LSAMP;Limbic system-associated membrane protein ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q15631;TSN;Translin ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P05164;MPO;Myeloperoxidase ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O00584;RNASET2;Ribonuclease T2 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P04083;ANXA1;Annexin A1 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P28907;CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q16769;QPCT;Glutaminyl-peptide cyclotransferase ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O95716;RAB3D;Ras-related protein Rab-3D;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P40925;MDH1;Malate dehydrogenase, cytoplasmic ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P06744;GPI;Glucose-6-phosphate isomerase ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P14550;AKR1A1;Alcohol dehydrogenase [NADP;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P06858;LPL;Lipoprotein lipase ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q6NSB4;HP;HP protein;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P08962;CD63;CD63 antigen ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P54108;CRISP3;Cysteine-rich secretory protein 3 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P21266;GSTM3;Glutathione S-transferase Mu 3 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P80188;LCN2;Neutrophil gelatinase-associated lipocalin ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P02763;ORM1;Alpha-1-acid glycoprotein 1 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
